,Reviews,Sentiments
0,"Finally: Finally! This is finally here as sought after for so many years. There are so many fine reviews here that I need not repeat them, but let the music speak for itself.Ant Phillips is one of the only tried and true, and I and a whole lot of others bow to him for valuing his values and yet being quite active in this very disdainful world that we've created.I would take my hat off to you Anthony, but the glare, my god, the glare!",1
1,I hate this printer: Goes through ink too fast. Uses color ink somehow when I only print black text. Doesn't play well with some of my computers on the network. I wish I hadn't bought this printer.,0
2,"Waste of money: With every conceivable test of different print seetings I tried, even Kodak's ""recommended"" settings, this paper came out terribly, especially in photgraphs that had a lot of black. The black ink clumps, leaving a lot of crackly marks. Don't waste your money.",0
3,wow what a movie: this is not in my to 10 movies of all time but it is a very good si-fi movie. very well made and looks good. well worth the time to watch it,1
4,"Not just for youths!: I agree with all of the reviews saying that this is an excellent resource for our youth. But I have to tell you that it was an excellent resource for ME at 45 years old. I loved having answers that I could not only understand, but could remember long enough to share with others! Now I don't have to just ""take it on faith"", I can actually get it!",1
5,"Quick & Easy: I read the reviews for this DVD before I'd actually purchased it and I LOVE IT! I have other yoga videos, but I love Ellen and she's a great teacher. But over the course of one week, you will definitely see results, NO JOKE. But this only comes with eating right and doing it CONSISTENTLY. I definitely recommend this and it fits into my time well, being I work full time. The reason why Pilates works is because it focuses on the smaller muscles and tones from there. This is a great video though...I'll recommend it to those who are just getting started.",1
6,"A CD FILLED WITH MAGICAL BEATS: ""Only in My Dreams"" is Shayla first American CD working with Global sound! After listening to this CD I was very happy that Shayla represented us asian-american society. Her CD featured many famous artist such as Martin Nievera, KaLa'I Miller and her own mom Thanh Tuyen. All the songs in this CD were written with passion. The lyrics are emotional and deep. The beats and rhymth are magical stars! A different and unique taste of music! SHayla also co-produced three songs: Only in my dreams, Open up your Heart, and Thank U. This is a CD perfect for this type of season! Maurice Starr and Matt Young have created a new fantastic artist to the music chart. Buy this CD, you won't regret it!",1
7,"Buy another microwave.: Bought this microwave in April. It's now broken. Bad smell then it stopped working. Simple as that. Last microwave we had lasted at least a decade not 7 months. Moreover, as a test I also bought a SquareTrade warranty. Useless. Because the microwave lasted less than a year it's still covered by the manufacturers warranty which, it turns out, is SquareTrades virtual deductible.",0
8,"Best Of 2002 List: #11: Conor Oberst makes folk music...emo folk music. His stories are long-winded, for sure, but never to the point where they will bore you so long as you are in the right mood. This should be no problem in your late teens to early 20's because chances are you will almost *always* be in the right mood. And as with many folkies before him, I have no doubt that Conor's music will get older as he does (I despise the word ""mature""). If his tales of attempted suicide and the fruitless search for a perfect love don't make you cry in your bed at night, they will certainly comfort you while you do. We have found a new boy for the critics to call Bob Dylan, let us pray he doesn't disappoint us like the others.",1
9,"A Good Primer, Excellent Bibliography: The Q&A format of the book makes it easy to get some basic background knowledge of what is to many a completely mysterious - and misunderstood - subject. As the Questions and Answers are not arranged ""in sequence"" one need not read the book from front to back - each is handled as if no other entries have been reviewed, and all are listed in the Index for ""quick review."" The bibliography is an excellent source for continuing education and review. Mr. Esposito handily lays out some answers using comparisons and/or contrasts between other religions - the format that many readers will no doubt be looking for in their quest to begin understanding ""what Islam is all about."" A very good place to start.",1
